PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Aerts, S; Van Loo, P; Moreau, Y; De Moor, B				Van Loo, Peter/A-3287-2012; Aerts, Stein/A-1100-2009	Aerts, Stein/0000-0002-8006-0315; Van Loo, Peter/0000-0003-0292-1949			A genetic algorithm for the detection of new cis-regulatory modules in sets of coregulated genes								BIOINFORMATICS				20	12			1974	1976		10.1093/bioinformatics/bth179			AUG 12 2004	2004																		1367-4803			WOS:000223588300021	15044242	
J	Allen, JE; Pertea, M; Salzberg, SL				Salzberg, Steven/F-6162-2011	Salzberg, Steven/0000-0002-8859-7432			Computational gene prediction using multiple sources of evidence								GENOME RESEARCH				14	1			142	148					JAN 2004	2004																		1088-9051			WOS:000187889600017	14707176	
J	Alpaydin, E				ALPAYDIN, ETHEM/E-6127-2013				Combined 5 x 2 cv F test for comparing supervised classification learning algorithms								NEURAL COMPUTATION				11	8			1885	1892		10.1162/089976699300016007			NOV 15 1999	1999																		0899-7667			WOS:000083578500004	10578036	
J	Ambroise, C; McLachlan, GJ				McLachlan, Geoffrey/A-1491-2008	McLachlan, Geoffrey/0000-0002-5921-3145			Selection bias in gene extraction on the basis of microarray gene-expression data								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				99	10			6562	6566		10.1073/pnas.102102699			MAY 14 2002	2002																		0027-8424			WOS:000175637300011	11983868	
B	Ando, S; Sakamoto, E; Iba, H			IEEE; IEEE					Modeling genetic network'by hybrid GP								CEC'02: PROCEEDINGS OF THE 2002 CONGRESS ON EVOLUTIONARY COMPUTATION, VOLS 1 AND 2		IEEE Congress on Evolutionary Computation						291	296					2002	2002						IEEE World Congress on Computational Intelligence (WCCI2002)IEEE World Congress on Computational Intelligence (WCCI2002)	MAY 12-17, 2002MAY 12-17, 2002	IEEE; IEEE Neural Network Soc; IEE; Evolut Programming SocIEEE; IEEE Neural Network Soc; IEE; Evolut Programming Soc	HONOLULU, HIHONOLULU, HI											0-7803-7282-4	WOS:000180919800050		
J	Ando, S; Sakamoto, E; Iba, H								Evolutionary modeling and inference of gene network								INFORMATION SCIENCES				145	3-4			237	259	PII S0020-0255(02)00235-9	10.1016/S0020-0255(02)00235-9			SEP 2002	2002																		0020-0255	1872-6291		WOS:000179178700006		
J	Baldi, P; Brunak, S; Chauvin, Y; Andersen, CAF; Nielsen, H				Nielsen, Henrik/D-4128-2011	Nielsen, Henrik/0000-0002-9412-9643			Assessing the accuracy of prediction algorithms for classification: an overview								BIOINFORMATICS				16	5			412	424		10.1093/bioinformatics/16.5.412			MAY 2000	2000																		1367-4803			WOS:000088444600002	10871264	
J	Bao, L; Cui, Y								Prediction of the phenotypic effects of non-synonymous single nucleotide polymorphisms using structural and evolutionary information								BIOINFORMATICS				21	10			2185	2190		10.1093/bioinformatics/bti365			MAY 15 2005	2005																		1367-4803			WOS:000229285600006	15746281	
J	Barker, D				Barker, David/A-5671-2013				LVB: parsimony and simulated annealing in the search for phylogenetic trees								BIOINFORMATICS				20	2			274	275		10.1093/bioinformatics/btg402			JAN 22 2004	2004																		1367-4803			WOS:000188389700020	14734321	
J	Baumgartner, C; Bohm, C; Baumgartner, D; Marini, G; Weinberger, K; Olgemoller, B; Liebl, B; Roscher, AA								Supervised machine learning techniques for the classification of metabolic disorders in newborns								BIOINFORMATICS				20	17			2985	2996		10.1093/bioinformatics/bth343			NOV 22 2004	2004																		1367-4803			WOS:000225361400012	15180934	
J	Ben-Dor, A; Bruhn, L; Friedman, N; Nachman, I; Schummer, M; Yakhini, Z				Nachman, Iftach/E-6750-2010; Friedman, Nir/H-9692-2012	Nachman, Iftach/0000-0002-4667-0398; Friedman, Nir/0000-0002-9678-3550			Tissue classification with gene expression profiles								JOURNAL OF COMPUTATIONAL BIOLOGY				7	3-4			559	583		10.1089/106652700750050943			2000	2000						4th Annual International Conference on Computational Biology (RECOMB 2000)4th Annual International Conference on Computational Biology (RECOMB 2000)	APR 08-11, 2000APR 08-11, 2000		TOKYO, JAPANTOKYO, JAPAN									1066-5277			WOS:000165512600015	11108479	
B	Bhandarkar, SM; Huang, JL; Arnold, J			IEEE; IEEE					Parallel Monte Carlo methods for physical mapping of chromosomes								CSB2002: IEEE COMPUTER SOCIETY BIOINFORMATICS CONFERENCE								64	75		10.1109/CSB.2002.1039330			2002	2002						1st International IEEE-Computer-Society Bioinformatics Conference (CSB2002)1st International IEEE-Computer-Society Bioinformatics Conference (CSB2002)	AUG 14-16, 2000AUG 14-16, 2000	IEEE Comp SocIEEE Comp Soc	STANFORD UNIV, STANFORD, CASTANFORD UNIV, STANFORD, CA											0-7695-1653-X	WOS:000177723300006		
