PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Aebersold, R; Mann, M				Mann, Matthias/A-3454-2013	Mann, Matthias/0000-0003-1292-4799			Mass spectrometry-based proteomics								NATURE				422	6928			198	207		10.1038/nature01511			MAR 13 2003	2003																		0028-0836			WOS:000181488900054	12634793	
J	Andersen, JS; Lyon, CE; Fox, AH; Leung, AKL; Lam, YW; Steen, H; Mann, M; Lamond, AI				Mann, Matthias/A-3454-2013; Andersen, Jens/L-2100-2015; Fox, Archa/H-9219-2014	Mann, Matthias/0000-0003-1292-4799; Andersen, Jens/0000-0002-6091-140X; Fox, Archa/0000-0003-1962-270X; Lamond, Angus/0000-0001-6204-6045; Lam, Yun Wah/0000-0001-8929-5965			Directed proteomic analysis of the human nucleolus								CURRENT BIOLOGY				12				1	+		10.1016/S0960-9822(01)00650-9		S	JAN 8 2002	2002																		0960-9822			WOS:000173291900001	11790298	
J	Beausoleil, SA; Jedrychowski, M; Schwartz, D; Elias, JE; Villen, J; Li, JX; Cohn, MA; Cantley, LC; Gygi, SP				Cantley, Lewis/D-1800-2014	Cantley, Lewis/0000-0002-1298-7653; Cohn, Martin/0000-0002-2988-3009; Villen, Judit/0000-0002-1005-1739			Large-scale characterization of HeLa cell nuclear phosphoproteins								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				101	33			12130	12135		10.1073/pnas.0404720101			AUG 17 2004	2004																		0027-8424			WOS:000223410100041	15302935	
J	Bendtsen, JD; Nielsen, H; von Heijne, G; Brunak, S				Nielsen, Henrik/D-4128-2011; von Heijne, Gunnar/F-5576-2011	Nielsen, Henrik/0000-0002-9412-9643; von Heijne, Gunnar/0000-0002-4490-8569			Improved prediction of signal peptides: SignalP 3.0								JOURNAL OF MOLECULAR BIOLOGY				340	4			783	795		10.1016/j.jmb.2004.05.028			JUL 16 2004	2004																		0022-2836			WOS:000222734300011	15223320	
J	Bertone, P; Stolc, V; Royce, TE; Rozowsky, JS; Urban, AE; Zhu, XW; Rinn, JL; Tongprasit, W; Samanta, M; Weissman, S; Gerstein, M; Snyder, M				Bertone, Paul/A-6600-2013	Bertone, Paul/0000-0001-5059-4829; Rozowsky, Joel/0000-0002-3565-0762			Global identification of human transcribed sequences with genome tiling arrays								SCIENCE				306	5705			2242	2246		10.1126/science.1103388			DEC 24 2004	2004																		0036-8075			WOS:000225950000042	15539566	
J	Brunet, S; Thibault, P; Gagnon, E; Kearney, P; Bergeron, JJM; Desjardins, M								Organelle proteomics: looking at less to see more								TRENDS IN CELL BIOLOGY				13	12			629	638		10.1016/j.tcb.2003.10.006			DEC 2003	2003																		0962-8924			WOS:000186909700006	14624841	
J	Cai, YD; Chou, KC				Chou, Kuo-Chen/A-8340-2009	cai, yudong/0000-0001-5664-7979			Predicting subcellular localization of proteins in a hybridization space								BIOINFORMATICS				20	7			1151	1156		10.1093/bioinformatics/bth054			MAY 1 2004	2004																		1367-4803			WOS:000221139700018	14764553	
J	Chou, KC; Cai, YD				Chou, Kuo-Chen/A-8340-2009	cai, yudong/0000-0001-5664-7979			Predicting protein localization in budding yeast								BIOINFORMATICS				21	7			944	950		10.1093/bioinformatics/bti104			APR 1 2005	2005																		1367-4803			WOS:000227977800015	15513989	
J	Cox, B; Kislinger, T; Emili, A				Kislinger, Thomas/A-5934-2008				Integrating gene and protein expression data: pattern analysis and profile mining								METHODS				35	3			303	314		10.1016/j.ymeth.2004.08.021			MAR 2005	2005																		1046-2023			WOS:000227663900010	15722226	
J	Eisen, MB; Spellman, PT; Brown, PO; Botstein, D					Eisen, Michael/0000-0002-7528-738X			Cluster analysis and display of genome-wide expression patterns								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				95	25			14863	14868		10.1073/pnas.95.25.14863			DEC 8 1998	1998																		0027-8424			WOS:000077436700051	9843981	
