PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Ambros, V								The functions of animal microRNAs								NATURE				431	7006			350	355		10.1038/nature02871			SEP 16 2004	2004																		0028-0836			WOS:000223864000051	15372042	
J	Bagga, S; Bracht, J; Hunter, S; Massirer, K; Holtz, J; Eachus, R; Pasquinelli, AE								Regulation by let-7 and lin-4 miRNAs results in target mRNA degradation								CELL				122	4			553	563		10.1016/j.cell.2005.07.031			AUG 26 2005	2005																		0092-8674			WOS:000231555100011	16122423	
J	Barrett, Tanya; Troup, Dennis B.; Wilhite, Stephen E.; Ledoux, Pierre; Rudnev, Dmitry; Evangelista, Carlos; Kim, Irene F.; Soboleva, Alexandra; Tomashevsky, Maxim; Edgar, Ron								NCBI GEO: mining tens of millions of expression profiles - database and tools update								NUCLEIC ACIDS RESEARCH				35		SI		D760	D765		10.1093/nar/gkl887			JAN 2007	2007																		0305-1048			WOS:000243494600150	17099226	
J	Benson, Dennis A.; Karsch-Mizrachi, Ilene; Lipman, David J.; Ostell, James; Wheeler, David L.								GenBank								NUCLEIC ACIDS RESEARCH				35		SI		D21	D25		10.1093/nar/gkl986			JAN 2007	2007																		0305-1048			WOS:000243494600006	17202161	
J	Brennecke, J; Stark, A; Russell, RB; Cohen, SM				Cohen, Stephen/G-9930-2011; Stark, Alexander/D-1473-2012; Brennecke, Julius/C-1626-2015	Cohen, Stephen/0000-0003-2858-9163; Stark, Alexander/0000-0003-2611-0841; Brennecke, Julius/0000-0002-5141-0814			Principles of MicroRNA-target recognition								PLOS BIOLOGY				3	3			404	418	e85	10.1371/journal.pbio.0030085			MAR 2005	2005																		1544-9173			WOS:000227984000010	15723116	
J	El-Naqa, I; Yang, YY; Wernick, MN; Galatsanos, NP; Nishikawa, RM				Wernick, Miles/J-8394-2013	Wernick, Miles/0000-0001-6736-478X; Nishikawa, Robert/0000-0001-7720-9951			A support vector machine approach for detection of microcalcifications								IEEE TRANSACTIONS ON MEDICAL IMAGING				21	12			1552	1563		10.1109/TMI.2002.806569			DEC 2002	2002																		0278-0062	1558-254X		WOS:000180871100012	12588039	
J	Enright, AJ; John, B; Gaul, U; Tuschl, T; Sander, C; Marks, DS				sander, chris/H-1452-2011				MicroRNA targets in Drosophila								GENOME BIOLOGY				5	1					R1				2004	2004																		1465-6914			WOS:000187747000007		
J	Farh, KKH; Grimson, A; Jan, C; Lewis, BP; Johnston, WK; Lim, LP; Burge, CB; Bartel, DP								The widespread impact of mammalian microRNAs on mRNA repression and evolution								SCIENCE				310	5755			1817	1821		10.1126/science.1121158			DEC 16 2005	2005																		0036-8075			WOS:000234093600047	16308420	
J	Gaidatzis, Dimos; van Nimwegen, Erik; Hausser, Jean; Zavolan, Mihaela					Hausser, Jean/0000-0002-3321-7199; van Nimwegen, Erik/0000-0001-6338-1312; Zavolan, Mihaela/0000-0002-8832-2041			Inference of miRNA targets using evolutionary conservation and pathway analysis								BMC BIOINFORMATICS				8						69	10.1186/1471-2105-8-69			MAR 1 2007	2007																		1471-2105			WOS:000245188100001	17331257	
J	Griffiths-Jones, Sam; Grocock, Russell J.; van Dongen, Stijn; Bateman, Alex; Enright, Anton J.				Bateman, Alex/E-6518-2011	Bateman, Alex/0000-0002-6982-4660; Enright, Anton/0000-0002-6090-3100			miRBase: microRNA sequences, targets and gene nomenclature								NUCLEIC ACIDS RESEARCH				34		SI		D140	D144		10.1093/nar/gkj112			JAN 1 2006	2006																		0305-1048			WOS:000239307700030	16381832	
